gamma,alpha,mean_excess,ci95_low_excess,ci95_high_excess,n_reps,n_rounds
0.0,0.36,-0.03381893305680767,-0.03894863370522909,-0.028689232408386257,100,2000
0.0,0.37,-0.02086070149278034,-0.026345518368158034,-0.015375884617402646,100,2000
0.0,0.38,-0.005287091540150084,-0.010650614420028418,7.643133972824907e-05,100,2000
0.0,0.39,0.010826333192371685,0.004282178320921686,0.017370488063821684,100,2000
0.0,0.4,0.0309827649935407,0.02367749127733439,0.038288038709747015,100,2000
0.0,0.41,0.05383821172545656,0.045602519751899655,0.062073903699013465,100,2000
0.0,0.42,0.0743692029656559,0.06597536911289285,0.08276303681841894,100,2000
0.0,0.43,0.10853058596933096,0.10059225310019898,0.11646891883846294,100,2000
0.0,0.44,0.1424506682670061,0.13269155593340426,0.1522097806006079,100,2000
0.0,0.45,0.16821575589983614,0.1570112511935246,0.17942026060614769,100,2000
0.0,0.46,0.21198164232415753,0.19978468467319416,0.2241785999751209,100,2000
0.0,0.47,0.25665414964101335,0.24171010557605058,0.27159819370597615,100,2000
0.0,0.48,0.3215869485321623,0.30852410887949555,0.33464978818482904,100,2000
0.0,0.49,0.36444941533152886,0.3498926055282717,0.379006225134786,100,2000
0.25,0.05,-0.03307917625921956,-0.03375089719668865,-0.03240745532175046,100,2000
0.25,0.06,-0.03828477556800038,-0.039179415523177004,-0.03739013561282376,100,2000
0.25,0.07,-0.044612372103358604,-0.04541993893382649,-0.04380480527289072,100,2000
0.25,0.08,-0.04793117921240466,-0.048803050585542344,-0.04705930783926698,100,2000
0.25,0.09,-0.05343726082974856,-0.054380836874188425,-0.0524936847853087,100,2000
0.25,0.1,-0.05659179497834815,-0.05767299836594677,-0.05551059159074954,100,2000
0.25,0.11,-0.06003582064062783,-0.06135943372879998,-0.05871220755245569,100,2000
0.25,0.12,-0.06319950355452694,-0.06467625610639952,-0.061722751002654376,100,2000
0.25,0.13,-0.06676980128856257,-0.06810335477854337,-0.06543624779858176,100,2000
0.25,0.14,-0.0681073840229737,-0.06963767680098662,-0.06657709124496078,100,2000
0.25,0.15,-0.0712782189506621,-0.07294841691326973,-0.06960802098805446,100,2000
0.25,0.16,-0.07101723548926725,-0.07280890805194427,-0.06922556292659023,100,2000
0.25,0.17,-0.0720262465315812,-0.07385578317888188,-0.07019670988428052,100,2000
0.25,0.18,-0.07535534355971403,-0.07741854140833895,-0.07329214571108911,100,2000
0.25,0.19,-0.07160408072542551,-0.07342605388263095,-0.06978210756822008,100,2000
0.25,0.2,-0.07241369704670646,-0.07487628790032039,-0.06995110619309253,100,2000
0.25,0.21,-0.07477976098657207,-0.07709163569378534,-0.07246788627935881,100,2000
0.25,0.22,-0.07283391031854691,-0.07528015102876297,-0.07038766960833086,100,2000
0.25,0.23,-0.06874206226784645,-0.07139753281907547,-0.06608659171661742,100,2000
0.25,0.24,-0.06813298447291294,-0.07082248783658701,-0.06544348110923887,100,2000
0.25,0.25,-0.06392017679113668,-0.06660456942438701,-0.06123578415788635,100,2000
0.25,0.26,-0.06558299083283159,-0.06892158222149716,-0.06224439944416602,100,2000
0.25,0.27,-0.05555955264967603,-0.0588893967974617,-0.05222970850189037,100,2000
0.25,0.28,-0.0545756755152796,-0.057503518529320986,-0.051647832501238215,100,2000
